Image,x,y,w,h,1/Bh,1/Bw,1/Bd,Ch,Cw,Cb,midas_max,midas_max_relative,Target
image0,126.918212890625,221.79574584960938,24.2763671875,32.28070068359375,0.12609648704528809,0.09482955932617188,0.11156381440045526,0.1,0.1,0.1,40.428684,0.91384214,1.0107051134109497
image10,129.94273376464844,132.7978057861328,23.888580322265625,27.95452880859375,0.10919737815856934,0.0933147668838501,0.10156700526079539,0.1,0.1,0.1,29.2221,0.46615797,1.0122355222702026
image1002,159.98770141601562,139.66317749023438,10.22259521484375,9.93829345703125,0.03882145881652832,0.0399320125579834,0.03938065065215624,0.1,0.1,0.1,17.452282,0.26965576,2.701746940612793
image101,126.50650024414062,132.65362548828125,13.1502685546875,12.016609191894531,0.04693987965583801,0.05136823654174805,0.04920390242406355,0.1,0.1,0.1,15.658452,0.20733975,2.1012346744537354
image1013,136.86740112304688,132.67446899414062,12.475067138671875,11.886528015136719,0.04643175005912781,0.04873073101043701,0.04759512348111349,0.1,0.1,0.1,13.861911,0.18766809,2.6223251819610596
image1014,130.90673828125,132.60067749023438,15.968170166015625,12.519157409667969,0.0489029586315155,0.062375664710998535,0.056045619414253164,0.1,0.1,0.1,15.15994,0.23553206,2.068563938140869
image1015,126.50679016113281,132.92300415039062,13.037689208984375,11.854927062988281,0.046308308839797974,0.050928473472595215,0.04867324150830179,0.1,0.1,0.1,11.935339,0.17680268,2.0819613933563232
image1017,122.54481506347656,131.90847778320312,61.1170654296875,75.14191436767578,0.2935231029987335,0.2387385368347168,0.267536820796677,0.1,0.1,0.1,38.08908,0.8130803,0.3629544973373413
image102,129.40786743164062,132.73736572265625,10.95263671875,9.748786926269531,0.038081198930740356,0.04278373718261719,0.0405007770253478,0.1,0.1,0.1,17.170748,0.2535486,2.5834779739379883
image1021,124.07791137695312,132.7076873779297,16.037811279296875,16.149932861328125,0.06308567523956299,0.06264770030975342,0.06286706917986669,0.1,0.1,0.1,23.207428,0.32612574,1.6427147388458252
image1022,97.41328430175781,132.83180236816406,29.338348388671875,26.112030029296875,0.10200011730194092,0.11460292339324951,0.10848468550880516,0.1,0.1,0.1,33.532494,0.50793374,1.1739120483398438
image1024,105.97523498535156,132.73779296875,23.6514892578125,19.70592498779297,0.07697626948356628,0.09238862991333008,0.08503236148922622,0.1,0.1,0.1,24.151445,0.35349375,1.5352075099945068
image1026,245.30563354492188,132.0258026123047,18.301025390625,40.62384033203125,0.15868687629699707,0.0714883804321289,0.1230693163337378,0.1,0.1,0.1,44.253006,0.90727305,0.7335793972015381
