Image,x,y,w,h,1/Bh,1/Bw,1/Bd,Ch,Cw,Cb,midas_max,midas_max_relative,Target,dpt_1,dpt_2,dpt_3,dpt_4,dpt_5,dpt_6,dpt_7,dpt_8,dpt_9,dpt_10,dpt_11,dpt_12,dpt_13,dpt_14,dpt_15,dpt_16,dpt_17,dpt_18,dpt_19,dpt_20,dpt_21,dpt_22,dpt_23,dpt_24,dpt_25,dpt_26,dpt_27,dpt_28,dpt_29,dpt_30,dpt_31,dpt_32,dpt_33,dpt_34,dpt_35,dpt_36
image0,126.918212890625,221.79574584960938,24.2763671875,32.28070068359375,0.12609648704528809,0.09482955932617188,0.11156381440045526,0.1,0.1,0.1,40.428684,0.91384214,1.0107051134109497,0.8729066,0.86131287,0.8530229,0.8460722,0.8343236,0.8275505,0.8827581,0.8883027,0.88619035,0.8840591,0.87855643,0.8629774,0.8899818,0.890176,0.88800514,0.88704574,0.88459307,0.87624234,0.897784,0.89544106,0.8941993,0.8950737,0.89093363,0.8837194,0.9099383,0.90657616,0.9066991,0.9076885,0.89992255,0.8886955,0.9105533,0.91110325,0.90799516,0.90460175,0.89998126,0.892818
image10,129.94273376464844,132.7978057861328,23.888580322265625,27.95452880859375,0.10919737815856934,0.0933147668838501,0.10156700526079539,0.1,0.1,0.1,29.2221,0.46615797,1.0122355222702026,0.31247187,0.44724625,0.4483611,0.44766468,0.44726825,0.4463934,0.4617895,0.45359215,0.4539108,0.45279446,0.4520817,0.45200056,0.45511168,0.45709512,0.45720178,0.45588896,0.4553434,0.454138,0.4602932,0.45822448,0.4578864,0.4573153,0.45766726,0.45673934,0.4639669,0.45946148,0.45932728,0.45955122,0.46016884,0.46051574,0.45358214,0.46217403,0.46329707,0.4632278,0.46306506,0.464355
image1002,159.98770141601562,139.66317749023438,10.22259521484375,9.93829345703125,0.03882145881652832,0.0399320125579834,0.03938065065215624,0.1,0.1,0.1,17.452282,0.26965576,2.701746940612793,0.22945632,0.26015225,0.26105592,0.2612845,0.26244646,0.2476379,0.2536112,0.2612848,0.26202396,0.26237717,0.2631862,0.2618685,0.25625944,0.26150784,0.26252088,0.26324606,0.264622,0.26321802,0.2572116,0.26314884,0.2640599,0.26496604,0.26641178,0.26516342,0.25877798,0.26517376,0.26621038,0.26699537,0.26812866,0.26586616,0.25751498,0.2682827,0.26793993,0.26816854,0.26937678,0.26418665
image101,126.50650024414062,132.65362548828125,13.1502685546875,12.016609191894531,0.04693987965583801,0.05136823654174805,0.04920390242406355,0.1,0.1,0.1,15.658452,0.20733975,2.1012346744537354,0.19595473,0.1969055,0.19794166,0.1974763,0.19588684,0.16096279,0.20003285,0.20063214,0.20131081,0.20106158,0.19959062,0.19539753,0.2029183,0.20195091,0.20278598,0.20283194,0.20168936,0.19907202,0.20379741,0.20351121,0.20402223,0.20425233,0.20348221,0.19973746,0.20460539,0.20515178,0.2055006,0.20579457,0.2053239,0.19970466,0.20087875,0.20639315,0.20701864,0.20703633,0.20631649,0.19786343
image1013,136.86740112304688,132.67446899414062,12.475067138671875,11.886528015136719,0.04643175005912781,0.04873073101043701,0.04759512348111349,0.1,0.1,0.1,13.861911,0.18766809,2.6223251819610596,0.10060995,0.13588075,0.16628367,0.17105195,0.15002464,0.1427414,0.12516195,0.171571,0.17524149,0.1782429,0.17869474,0.15085952,0.15508246,0.17468487,0.1779894,0.18126552,0.18425716,0.16600992,0.15907186,0.17652702,0.18040788,0.18421812,0.18604025,0.18077464,0.14197311,0.17753023,0.18173519,0.18554565,0.18792783,0.17950125,0.14103249,0.16783188,0.18111622,0.18454604,0.18307409,0.18246612
image1014,130.90673828125,132.60067749023438,15.968170166015625,12.519157409667969,0.0489029586315155,0.062375664710998535,0.056045619414253164,0.1,0.1,0.1,15.15994,0.23553206,2.068563938140869,0.16396694,0.20268719,0.21511492,0.22102371,0.22199671,0.21801943,0.21469492,0.22246972,0.22414938,0.2253639,0.22532535,0.22564949,0.21461073,0.2241498,0.22589242,0.22763094,0.22808617,0.22869386,0.2151138,0.22605143,0.22742875,0.22918943,0.23058376,0.2316736,0.21366616,0.22842488,0.22931756,0.23094778,0.2330091,0.23433463,0.20777275,0.22897743,0.23008184,0.23196891,0.23442101,0.23516709
image1015,126.50679016113281,132.92300415039062,13.037689208984375,11.854927062988281,0.046308308839797974,0.050928473472595215,0.04867324150830179,0.1,0.1,0.1,11.935339,0.17680268,2.0819613933563232,0.1627676,0.17120363,0.17061695,0.16898568,0.166756,0.15527926,0.17116953,0.17158301,0.17134175,0.1703438,0.16938128,0.16761874,0.17152147,0.1718936,0.17181405,0.17122653,0.17034407,0.17008391,0.17268334,0.17284761,0.17253354,0.17208986,0.17165166,0.17229962,0.17419782,0.17452373,0.17405483,0.17361948,0.17349517,0.1745595,0.1749608,0.1762159,0.17579976,0.17544718,0.17569765,0.1761316
image1017,122.54481506347656,131.90847778320312,61.1170654296875,75.14191436767578,0.2935231029987335,0.2387385368347168,0.267536820796677,0.1,0.1,0.1,38.08908,0.8130803,0.3629544973373413,0.65983444,0.65080297,0.640695,0.631773,0.62223333,0.3956696,0.7103772,0.70209104,0.6926361,0.683756,0.67755216,0.67630726,0.76836807,0.76178485,0.75442076,0.7474638,0.7421506,0.74023217,0.78663766,0.78085774,0.77576303,0.77312905,0.76903576,0.7674048,0.7642871,0.75883836,0.7520668,0.74773574,0.74455076,0.74269223,0.7456127,0.74013174,0.7332524,0.7283478,0.7250975,0.5926419
image102,129.40786743164062,132.73736572265625,10.95263671875,9.748786926269531,0.038081198930740356,0.04278373718261719,0.0405007770253478,0.1,0.1,0.1,17.170748,0.2535486,2.5834779739379883,0.22956347,0.24325366,0.24538523,0.24620742,0.2463699,0.24666457,0.24051712,0.2472652,0.24862923,0.24898618,0.24910356,0.24989684,0.24145578,0.24846502,0.2489585,0.24946603,0.2500748,0.2505156,0.24009119,0.24948531,0.25007534,0.25032428,0.25092253,0.251392,0.23184803,0.2505721,0.25179943,0.25212827,0.25256935,0.2523792,0.232186,0.25050914,0.25256264,0.2532632,0.2534685,0.25286475
image1021,124.07791137695312,132.7076873779297,16.037811279296875,16.149932861328125,0.06308567523956299,0.06264770030975342,0.06286706917986669,0.1,0.1,0.1,23.207428,0.32612574,1.6427147388458252,0.31666422,0.31705156,0.3187203,0.3171035,0.3162468,0.25914562,0.32124394,0.3231068,0.3235893,0.3237709,0.32124284,0.32228854,0.3231641,0.3242596,0.32511997,0.32565352,0.32338032,0.32206035,0.32458842,0.32463837,0.3249721,0.32566285,0.32412454,0.32248423,0.32521692,0.32501304,0.32484746,0.32491896,0.3241522,0.32220438,0.3246874,0.32575676,0.32539135,0.32508054,0.3248822,0.3188851
