                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0283,                 1.5342,                0.89604,                0.83963,                0.93464,                0.94047,                0.73403,                0.64874,                 1.0321,                0.82715,             0.00064706,             0.00064706,             0.00064706
                      2,                 0.8285,                0.62549,                 0.9055,                0.83737,                0.97386,                 0.8935,                0.65898,                0.77809,                 1.2936,                0.93329,              0.0013007,              0.0013007,              0.0013007
                      3,                0.84881,                0.57505,                0.90477,                0.92212,                0.96732,                 0.9418,                0.74186,                0.81581,                 1.6401,                0.92257,              0.0019412,              0.0019412,              0.0019412
                      4,                0.92494,                0.55343,                 0.9356,                0.93541,                      1,                0.98579,                0.76929,                 0.7643,                0.79047,                0.93629,              0.0019406,              0.0019406,              0.0019406
                      5,                0.82803,                0.54831,                0.92828,                0.36713,                0.28758,                0.32887,                0.27644,                0.93105,                 8.1761,                 1.0061,              0.0019208,              0.0019208,              0.0019208
                      6,                0.86874,                0.57225,                0.95736,                0.46509,                 0.6649,                0.42417,                0.34796,                0.78435,                 2.9174,                0.95123,               0.001901,               0.001901,               0.001901
                      7,                0.77877,                0.49829,                0.89072,                0.95027,                 0.8742,                0.94405,                0.75588,                0.68913,                0.61508,                0.89238,              0.0018812,              0.0018812,              0.0018812
                      8,                0.74591,                0.44427,                0.87468,                      1,                0.99132,                  0.995,                0.84761,                0.57753,                0.42605,                0.89196,              0.0018614,              0.0018614,              0.0018614
                      9,                 0.6555,                0.41965,                0.90754,                0.99986,                0.99346,                  0.995,                0.84689,                0.55493,                0.37101,                0.86206,              0.0018416,              0.0018416,              0.0018416
                     10,                0.70317,                0.41944,                0.90331,                0.99841,                      1,                  0.995,                0.84981,                 0.5768,                0.41441,                0.86206,              0.0018218,              0.0018218,              0.0018218
                     11,                0.70485,                0.42394,                0.90427,                0.99002,                0.98693,                0.99487,                0.86076,                0.57534,                 1.0465,                0.86542,               0.001802,               0.001802,               0.001802
                     12,                0.67753,                0.41297,                0.87205,                      1,                0.97947,                0.99481,                0.85028,                0.53593,                0.38362,                0.86268,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.6517,                0.39256,                0.90212,                0.99783,                      1,                  0.995,                0.88546,                0.49538,                0.35421,                 0.8508,              0.0017624,              0.0017624,              0.0017624
                     14,                0.61982,                0.39404,                0.89021,                0.99862,                      1,                  0.995,                0.86457,                0.52462,                0.37611,                0.84909,              0.0017426,              0.0017426,              0.0017426
                     15,                0.63796,                0.39002,                0.88786,                0.99968,                      1,                  0.995,                0.86616,                0.50767,                0.37842,                 0.8528,              0.0017228,              0.0017228,              0.0017228
                     16,                0.62067,                0.38458,                0.89349,                0.99611,                      1,                  0.995,                0.88611,                0.48223,                0.33521,                0.85442,               0.001703,               0.001703,               0.001703
                     17,                0.60885,                0.37831,                0.88238,                 0.9986,                      1,                  0.995,                0.89647,                0.45125,                0.40655,                0.84073,              0.0016832,              0.0016832,              0.0016832
                     18,                0.63091,                0.37731,                 0.8897,                0.99847,                      1,                  0.995,                0.91206,                0.41502,                0.31248,                0.83793,              0.0016634,              0.0016634,              0.0016634
                     19,                0.58857,                0.36181,                0.87767,                0.99854,                      1,                  0.995,                0.90814,                0.44856,                0.33667,                0.83285,              0.0016436,              0.0016436,              0.0016436
                     20,                0.55424,                0.34698,                0.85061,                0.99815,                      1,                  0.995,                0.88466,                0.45536,                0.36163,                0.83407,              0.0016238,              0.0016238,              0.0016238
                     21,                0.54136,                0.33661,                0.86828,                0.99937,                      1,                  0.995,                0.91492,                0.40422,                0.29959,                  0.832,               0.001604,               0.001604,               0.001604
                     22,                 0.5481,                0.34484,                0.85407,                      1,                0.99828,                  0.995,                 0.9113,                0.41634,                 0.3013,                0.83357,              0.0015842,              0.0015842,              0.0015842
                     23,                 0.5628,                0.33665,                0.88153,                0.99905,                      1,                  0.995,                0.90612,                0.43993,                0.30051,                0.83554,              0.0015644,              0.0015644,              0.0015644
