Image,x,y,w,h,1/Bh,1/Bw,1/Bd,Ch,Cw,Cb,Target
image1981,145.28541564941406,132.77198791503906,20.741912841796875,17.879425048828125,14.318133793501321,12.342159662542613,13.220657612253119,0.1,0.1,0.1,1.657480239868164
image1535,126.1395492553711,133.19747924804688,16.431625366210938,18.85388946533203,13.57810018302723,15.579712553964617,14.476134277901552,0.1,0.1,0.1,1.416583776473999
image1491,111.80848693847656,132.738037109375,14.20050048828125,12.12506103515625,21.11329578117056,18.027533621879044,19.388617845597892,0.1,0.1,0.1,2.5114309787750244
image1847,129.98089599609375,132.9000244140625,12.12982177734375,9.990287780761719,25.624887452489485,21.105009183083,23.03884087037296,0.1,0.1,0.1,2.7455172538757324
image1563,129.8646240234375,132.83242797851562,19.654205322265625,16.09710693359375,15.903478870836256,13.025202281263732,14.250789397128802,0.1,0.1,0.1,1.694398045539856
image750,126.50091552734375,132.50775146484375,11.029449462890625,8.83502197265625,28.975592906537344,23.21058733360449,25.61881312043555,0.1,0.1,0.1,2.578732490539551
image931,134.80545043945312,132.7596435546875,15.7117919921875,12.049186706542969,21.246247255923628,16.293494728500285,18.28470427272865,0.1,0.1,0.1,2.20933198928833
image1014,130.90673828125,132.60067749023438,15.968170166015625,12.519157409667969,20.448660530644258,16.031893281350037,17.842607690864174,0.1,0.1,0.1,2.068563938140869
image1237,202.14137268066406,132.27642822265625,21.72125244140625,16.952606201171875,15.100922947310815,11.78569240841742,13.139408510645026,0.1,0.1,0.1,1.498639702796936
image388,150.9842987060547,132.47080993652344,24.058441162109375,20.602294921875,12.425800182492564,10.64075591078548,11.430034291399341,0.1,0.1,0.1,1.4646070003509521
image1075,132.97698974609375,132.83322143554688,17.7005615234375,14.20379638671875,18.02335045012139,14.462818010661849,15.952436216304555,0.1,0.1,0.1,1.8605939149856567
image1178,186.394287109375,132.26290893554688,48.77752685546875,45.27558135986328,5.654262017426982,5.248318570118285,5.439963368019533,0.1,0.1,0.1,0.6681995987892151
image1920,131.24301147460938,132.86962890625,12.63720703125,9.94573974609375,25.739664070794287,20.257640740311427,22.512651381190253,0.1,0.1,0.1,2.5908875465393066
image201,122.92285919189453,132.85325622558594,13.448837280273438,12.123016357421875,21.11685676669679,19.03510278732401,19.995157100365617,0.1,0.1,0.1,2.3378870487213135
image313,129.5344696044922,132.70956420898438,10.8365478515625,11.940132141113281,21.440298731579272,23.62375947641738,22.452792166072218,0.1,0.1,0.1,2.3510866165161133
image23,86.3104019165039,132.84930419921875,14.610336303710938,11.9686279296875,21.389252093383785,17.521841707023373,19.168906198070065,0.1,0.1,0.1,2.375749111175537
image1291,117.39462280273438,132.8359832763672,16.433380126953125,14.138031005859375,18.107189034590686,15.578048948075077,16.700666425528265,0.1,0.1,0.1,1.9909595251083374
image1243,253.3870086669922,134.26788330078125,5.225982666015625,30.074249267578125,8.512265683585445,48.98600251102222,11.860425873943015,0.1,0.1,0.1,0.7143792510032654
image1436,126.84265899658203,132.7594451904297,8.170181274414062,9.778900146484375,26.178813175839093,31.333454106054635,28.41125159550827,0.1,0.1,0.1,2.5792236328125
image40,128.88427734375,132.84158325195312,11.750701904296875,9.863761901855469,25.953586729607082,21.785932626406648,23.598088835817986,0.1,0.1,0.1,2.5970630645751953
image303,98.42207336425781,132.64903259277344,26.60882568359375,24.27313232421875,10.546640482183404,9.620868017405307,10.0519207596684,0.1,0.1,0.1,1.0621464252471924
image947,110.24235534667969,132.80130004882812,27.950103759765625,24.328369140625,10.52269465825046,9.159178878202013,9.77028839546728,0.1,0.1,0.1,1.250270128250122
image1372,128.4495391845703,132.64593505859375,21.10711669921875,28.176727294921875,9.085512214406013,12.128610631573164,10.283536660900868,0.1,0.1,0.1,1.0281651020050049
image849,97.95352172851562,132.88824462890625,45.94110107421875,39.80511474609375,6.431334305476971,5.572352294874844,5.955878992290077,0.1,0.1,0.1,0.7567224502563477
image1955,157.0605010986328,132.6311798095703,25.896026611328125,21.62628173828125,11.83744867000635,9.885686473924679,10.730662763946345,0.1,0.1,0.1,1.4465274810791016
image1940,113.97610473632812,132.3037567138672,28.076080322265625,35.4237060546875,7.226798901413207,9.118081906788827,8.00957725496172,0.1,0.1,0.1,0.8254661560058594
image1127,138.50411987304688,132.36370849609375,14.8958740234375,15.213897705078125,16.82672021086035,17.185967040081294,17.003497998657508,0.1,0.1,0.1,1.9990326166152954
image1100,117.511962890625,132.73953247070312,13.304611206054688,12.233757019042969,20.92570578290156,19.241449151366336,20.030664552525906,0.1,0.1,0.1,2.614802837371826
image30,119.62699890136719,132.71652221679688,19.087066650390625,17.84516143798828,14.345625333208494,13.412223297012527,13.855399476856308,0.1,0.1,0.1,1.7071447372436523
image1994,64.45687866210938,132.28765869140625,48.504337310791016,43.68023681640625,5.8607740859098705,5.27787851959883,5.5464851892407525,0.1,0.1,0.1,0.678962230682373
image1713,127.47969055175781,132.78802490234375,14.562835693359375,14.287834167480469,17.91734121485421,17.578993912341915,17.745748873828372,0.1,0.1,0.1,1.8106003999710083
image790,126.89031982421875,132.79440307617188,8.19317626953125,9.651611328125,26.524068499734398,31.24551353203662,28.596503875304386,0.1,0.1,0.1,2.776759386062622
image1477,127.02742767333984,132.88771057128906,10.020828247070312,9.694000244140625,26.408086811709634,25.54679051353306,25.966731596435945,0.1,0.1,0.1,2.2598845958709717
image1736,127.98716735839844,132.7768096923828,11.791473388671875,9.76275634765625,26.22210274268066,21.710603209768546,23.649515441605267,0.1,0.1,0.1,2.402128219604492
image883,140.18472290039062,132.78622436523438,27.37322235107422,24.11878204345703,10.614134641572747,9.352205477187953,9.923490891342713,0.1,0.1,0.1,1.258043885231018
image995,147.8035430908203,133.15866088867188,112.62564086914062,110.94849395751953,2.307376971678574,2.273017032572943,2.290003694520301,0.1,0.1,0.1,0.23256926238536835
image441,127.12992095947266,132.73178100585938,20.427352905273438,16.39270782470703,15.616699982546978,12.532216053011554,13.82272474024234,0.1,0.1,0.1,1.435077428817749
image31,126.11337280273438,132.8705291748047,24.037384033203125,19.9281005859375,12.846181646666789,10.650077381398248,11.594962654875545,0.1,0.1,0.1,1.2509440183639526
image1942,96.89572143554688,132.36180114746094,22.059539794921875,19.010467529296875,13.466265340685625,11.604956512235646,12.432303843187444,0.1,0.1,0.1,1.615126609802246
image1933,103.58663940429688,132.58636474609375,18.661239624023438,17.61498260498047,14.533082759197187,13.718274088846696,14.108061803925107,0.1,0.1,0.1,1.6928349733352661
image1551,179.8074951171875,132.18460083007812,38.058074951171875,37.025482177734375,6.914157087033104,6.726561980038281,6.8184248091680555,0.1,0.1,0.1,0.8048783540725708
image489,127.01786041259766,132.687255859375,9.993301391601562,11.842414855957031,21.617212630515606,25.617159932266638,23.364197469234004,0.1,0.1,0.1,2.2507665157318115
image951,178.2384033203125,132.28729248046875,53.49566650390625,47.23590087890625,5.419606596607112,4.785434348804812,5.073029811648958,0.1,0.1,0.1,0.6314421892166138
image1151,138.8955535888672,132.75369262695312,18.100433349609375,14.29571533203125,17.90746346399341,14.143307790226178,15.696467933597043,0.1,0.1,0.1,1.953862190246582
image763,125.99949645996094,132.7862548828125,11.986236572265625,11.907035827636719,21.49989331566581,21.35782974552213,21.428508351624732,0.1,0.1,0.1,2.246196985244751
